step,return
40000,1.98768672734441
80000,0.629498559660715
120000,0.420298279335339
160000,1.17721881283233
200000,0.329680378588068
240000,0.19503926945572
280000,0.449494947845915
320000,1.812478730462
360000,2.10814459973425
400000,4.61013237678435
440000,8.3875386552387
480000,7.7247485348156
520000,11.474163752086
560000,15.325505960053
600000,24.591749975025
640000,19.417827835264
680000,24.056106917414
720000,31.047581550624
760000,34.199443728948
800000,47.482115661818
840000,54.915503075062
880000,55.838270386472
920000,53.828861115431
960000,53.305041345896
1000000,53.136921365161
1040000,54.545462244902
1080000,54.14297779866
1120000,54.568656765356
1160000,53.670330925429
1200000,53.867558955476
1240000,57.830881380317
1280000,64.720368877727
1320000,82.251224638976
1360000,100.76473151441
1400000,111.571338128
1440000,114.51354572747
1480000,120.95583405096
1520000,131.7720963292
1560000,149.11002649956
1600000,167.04368944784
1640000,181.54963561165
1680000,187.79812292649
1720000,189.56679252801
1760000,198.12722315487
1800000,199.76874952248
1840000,199.54315764842
1880000,199.61757971835
1920000,199.32830336116
1960000,199.82164956934
2000000,199.50305313037
2040000,199.49368847236
2080000,199.33793389174
2120000,199.43385094865
2160000,199.43040921044
2200000,199.59757090535
2240000,199.88778645829
2280000,199.32944127199
2320000,199.86254706241
2360000,199.211928785
2400000,199.34260087646
2440000,199.51955332842
2480000,199.51715843658
2520000,199.69290676029
2560000,199.96341629968
2600000,199.59683225072
2640000,199.59683238882
2680000,199.4943407367
2720000,199.7104801048
2760000,199.18456410513
2800000,203.41171810878
2840000,199.29195868594
2880000,199.49058487131
2920000,199.44816333725
2960000,199.56391260243
3000000,199.49938984461
3040000,199.67100132576
3080000,199.51592260619
3120000,199.78975872764
3160000,199.28094835204
3200000,200.56606519304
3240000,204.19663041608
3280000,187.57092625096
3320000,199.30305983786
3360000,199.52659118217
3400000,199.89436247639
3440000,199.71303725925
3480000,199.29909180748
3520000,199.27133580865
3560000,199.62894805526
3600000,199.73967148881
3640000,199.31830366936
3680000,199.05225806609
3720000,199.43031502236
3760000,199.39386959098
3800000,199.39013827303
3840000,199.51702229049
3880000,199.78171364245
3920000,199.85884127096
3960000,199.77883524682
4000000,199.57099439765
